item_id,PLACES,THINGS_TO_DO,LOCATION,CITY,TRIP,LAKES,GLACIERS,CULTURAL FOOD
44,KARIMABAD STREETS,"FOODS,CULTURAL HERITAGE", HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
45,KARIMABAD STREETS,"FOODS,CULTURAL HERITAGE", HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
46,LADY FINGER VIEW POINT ,"TRACKING ,STAY AND DINE",MURTAZABAD HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
47,ULTAR GLACIER,TRACKING,KARIMABAD HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
48,BALTIT FORT,"POLO GROUND,HERITAGE",KARIMABAD HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
49,HUSSAINABAD TUNNEL,"CAMPING,PICNIC POINT,TRACKING,HIKING,SEE NATURE",HUNZA SOST GOJAL,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
50,HUNZA WATER,"DRINK HUNZA WATER , WATERFALL",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
51,GANISH,"ARCHITECTTURE,INFRASTRUCTURE ,LANDSCAPE,SHOPPING",GANISH HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
52,KKH,"STAY AND DINE,BONFIRE",HUNZA ,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
53,GANISH,"ARCHITECTTURE,INFRASTRUCTURE ,LANDSCAPE,SHOPPING",GANISH HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
54,KKH,"STAY AND DINE,BONFIRE",HUNZA ,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
55,ONDRA FORT,"INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",GULMIT HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
56,GANISH KHUN ,"INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",GANISH HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
57,PAK-CHINA TUNNEL,"BONFIRE,CAMPING,PICNIC POINT,TRACKING,HIKING",SHISKAT GOJAL HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
58,LEOPARD TRACK SHISHKAT,",BONFIRE,CAMPING,PICNIC POINT",SHISKAT GOJAL HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
59,HASANABAD LAKE,"SWIMMING,BOATING",HASSANABAD HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
60,GANISH KHUN ,"INFRASTRUCTURE ,LANDSCAPE , EVENTS, SHOPPING",GANISH HUNZA,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
61,RAKAPOSHI GLACIER,"STAY AND DINEHIKING,SEE NATURE",HUNZA NAGAR,HUNZA ,Family,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
62,RAKAPOSHI GLACIER,"STAY AND DINEHIKING,SEE NATURE",HUNZA NAGAR,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
63,WAKHI MUSEM,"LANDSCAPE , EVENTS, SHOPPING",GULMIT HUNZA,HUNZA ,Adventure,"ATTABAD LAKE,BORITH LAKE,RUSH LAKE,BATURA LAKE","ULTAR GLACIER,HOPPER GLACIER,RAKAPOSHI GLACIER,PASSU GLACIER,BATURA GLACIER","BUROS-SHAPIK,GIYALIN,CHAMURKII,MOLIDA,SHARBAT,HARISA,FOTUK,DIRAM FITTI"
